job_id,job_title,company,skills,experience_required,salary_min,salary_max,location,education,description
1,Python Developer,TechCorp India,"Python, Django, PostgreSQL, Git, REST APIs",2,600000,1200000,Bangalore,B.Tech Computer Science,"Develop and maintain web applications using Python and Django. Work with cross-functional teams to deliver high-quality software solutions."
2,Frontend Developer,WebSolutions Pvt Ltd,"React, JavaScript, CSS, HTML, Git",1,500000,900000,Noida,B.Tech/B.E. Computer Science,"Build responsive and interactive user interfaces using React. Collaborate with designers and backend developers."
3,Data Scientist,DataMinds Analytics,"Python, Pandas, NumPy, Scikit-learn, SQL, Machine Learning",3,800000,1500000,Bangalore,M.Tech/M.Sc in CS or Statistics,"Analyze large datasets to extract insights and build predictive models. Work on ML projects for business solutions."
4,Backend Developer,CloudTech Systems,"Python, FastAPI, PostgreSQL, Docker, REST APIs",2,700000,1300000,Mumbai,B.Tech Computer Science,"Design and develop scalable backend services. Implement APIs and integrate with various third-party services."
5,Full Stack Developer,InnovateTech,"React, Node.js, MongoDB, JavaScript, CSS",3,800000,1400000,Noida,B.Tech Computer Science,"Develop end-to-end web applications. Work on both frontend and backend components."
6,Machine Learning Engineer,AI Solutions,"Python, TensorFlow, PyTorch, Scikit-learn, Deep Learning",4,1000000,1800000,Bangalore,M.Tech Computer Science,"Build and deploy machine learning models. Work on computer vision and NLP projects."
7,DevOps Engineer,CloudInfra,"Docker, Kubernetes, AWS, CI/CD, Linux, Python",3,900000,1600000,Mumbai,B.Tech Computer Science,"Manage cloud infrastructure and implement CI/CD pipelines. Ensure system reliability and scalability."
8,Software Engineer (Java),JavaSystems,"Java, Spring Boot, PostgreSQL, Maven, Git",2,600000,1100000,Bangalore,B.Tech Computer Science,"Develop enterprise applications using Java and Spring Boot. Work on microservices architecture."
9,Mobile App Developer,AppWorks,"React Native, JavaScript, Mobile Development, Git",2,600000,1200000,Noida,B.Tech Computer Science,"Build cross-platform mobile applications using React Native. Work on iOS and Android apps."
10,Data Analyst,Analytics Pro,"Python, Pandas, SQL, Excel, Data Visualization",1,500000,900000,Mumbai,B.Tech/B.E Computer Science,"Analyze business data and create reports. Build dashboards and provide insights to stakeholders."
11,QA Engineer,TestFirst,"Python, Selenium, Test Automation, Agile, Git",1,500000,900000,Bangalore,B.Tech Computer Science,"Design and implement automated test suites. Ensure software quality through rigorous testing."
12,Cloud Architect,CloudScale,"AWS, Azure, GCP, Docker, Kubernetes, Python",5,1500000,2500000,Mumbai,M.Tech Computer Science,"Design cloud infrastructure solutions. Ensure scalability, security, and cost optimization."
13,Database Administrator,DBExperts,"PostgreSQL, MySQL, Database Administration, SQL, Linux",3,800000,1400000,Bangalore,B.Tech Computer Science,"Manage and optimize database systems. Ensure data integrity and performance."
14,Security Engineer,CyberShield,"Python, Security, Penetration Testing, Network Security",4,1000000,1800000,Noida,B.Tech Computer Science,"Implement security measures and conduct vulnerability assessments. Protect systems from cyber threats."
15,Product Manager,ProductLabs,"Product Management, Agile, Communication, Analytics",3,900000,1600000,Bangalore,MBA/B.Tech,"Lead product development lifecycle. Work with cross-functional teams to deliver products."
16,UI/UX Designer,DesignStudio,"Figma, Adobe XD, UI Design, UX Research",2,600000,1100000,Noida,B.Des/M.Des,"Design user interfaces and experiences. Conduct user research and create design systems."
17,Technical Writer,TechDocs,"Technical Writing, Documentation, Communication",1,500000,900000,Mumbai,B.A/B.Tech,"Create technical documentation for software products. Work with engineering teams to produce clear docs."
18,Scrum Master,AgileWorks,"Scrum, Agile, Project Management, Communication",2,600000,1100000,Bangalore,PMP/Certified Scrum Master,"Facilitate agile processes and ceremonies. Coach teams on agile methodologies."
19,Business Analyst,BizSolutions,"SQL, Excel, Business Analysis, Communication",2,600000,1100000,Noida,MBA/B.Tech,"Analyze business requirements and propose solutions. Bridge gap between business and IT teams."
20,AI/ML Engineer,FutureAI,"Python, TensorFlow, PyTorch, NLP, Computer Vision",4,1200000,2000000,Bangalore,M.Tech Computer Science,"Develop AI and ML solutions for various domains. Work on cutting-edge AI projects."
21,Systems Engineer,SysOps,"Linux, Shell Scripting, System Administration, Python",2,600000,1100000,Mumbai,B.Tech Computer Science,"Manage and maintain server infrastructure. Ensure system uptime and performance."
22,Game Developer,GameStudio,"Unity, C#, Game Development, Physics",2,600000,1200000,Bangalore,B.Tech Computer Science,"Develop interactive games using Unity. Work on game mechanics and graphics."
23,Big Data Engineer,DataPipelines,"Hadoop, Spark, Python, SQL, ETL",3,900000,1600000,Noida,B.Tech Computer Science,"Build and maintain big data pipelines. Process large-scale datasets efficiently."
24,Cybersecurity Analyst,SecureNet,"Security Analysis, SIEM, Incident Response, Python",2,700000,1300000,Mumbai,B.Tech Computer Science,"Monitor security systems and respond to incidents. Implement security best practices."
25,API Developer,APIFirst,"REST APIs, GraphQL, Python, Node.js, Documentation",2,600000,1100000,Bangalore,B.Tech Computer Science,"Design and develop APIs for various services. Ensure API security and performance."
